Symbol,Name,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,United States,1999,1930082,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,United States,2016,9673595,Industrials,Aluminum
AACG,ATA Creativity Global American Depositary Shares,China,2008,99137,Real Estate,Other Consumer Services
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,,2023,47110,Finance,Blank Checks
AADI,Aadi Bioscience Inc. Common Stock,United States,,184590,Health Care,Biotechnology: Pharmaceutical Preparations
AAGR,African Agriculture Holdings Inc. Common Stock,United States,2021,214335,Consumer Staples,Farming/Seeds/Milling
AAGRW,African Agriculture Holdings Inc. Warrant,United States,2021,12600,Consumer Staples,Farming/Seeds/Milling
AAL,American Airlines Group Inc. Common Stock,United States,,29426188,Consumer Discretionary,Air Freight/Delivery Services
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,,2024,15351,,
AAME,Atlantic American Corporation Common Stock,United States,,2811,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,United States,2020,1281784,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,5533777,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,612746,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,United States,,1987540,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,United States,1980,43492522,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,United States,2011,180959,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,United States,,157920,Finance,Investment Managers
ABAT,American Battery Technology Company Common Stock,United States,,1526339,Basic Materials,Metal Mining
ABBV,AbbVie Inc. Common Stock,United States,2012,4286481,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,United States,1994,318140,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Canada,2020,1679759,Health Care,Pharmaceuticals and Biotechnology
ABEO,Abeona Therapeutics Inc. Common Stock,United States,,180890,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Brazil,2013,28081181,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,United States,2002,420011,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABL,Abacus Life Inc. Class A Common Stock,United States,2020,298579,Finance,Investment Managers
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,United States,,1209,Finance,Investment Managers
ABLLW,Abacus Life Inc. Warrant,United States,2020,22568,Finance,Investment Managers
ABLV,Able View Global Inc. Class B Ordinary Shares,China,,2536,Consumer Discretionary,Other Consumer Services
ABLVW,Able View Global Inc. Warrant,China,,217748,Consumer Discretionary,Other Consumer Services
ABM,ABM Industries Incorporated Common Stock,United States,,1046090,Finance,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,4188445,Finance,Diversified Commercial Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,2021,87650,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABR,Arbor Realty Trust Common Stock,United States,2004,2893441,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,United States,,15387,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,United States,,6170,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,United States,,60432,,
ABSI,Absci Corporation Common Stock,United States,2021,599515,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABT,Abbott Laboratories Common Stock,United States,,5029801,Health Care,Biotechnology: Pharmaceutical Preparations
ABTS,Abits Group Inc Ordinary Shares,China,,2657,Technology,Computer Software: Programming Data Processing
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,,781779,Health Care,Biotechnology: Pharmaceutical Preparations
ABVC,ABVC BioPharma Inc. Common Stock,United States,,46582,Health Care,Biotechnology: Pharmaceutical Preparations
ABVE,Above Food Ingredients Inc. Common Stock,Canada,,32517,Consumer Staples,Packaged Foods
ABVEW,Above Food Ingredients Inc. Warrants,Canada,,5012,Consumer Staples,Packaged Foods
ABVX,Abivax SA American Depositary Shares,France,2023,191204,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,United States,2015,3686,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,United States,2018,214860,Industrials,Metal Fabrications
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,United States,2022,2851,Finance,Blank Checks
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,United States,2022,8,Finance,Blank Checks
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,United States,2022,487,Finance,Blank Checks
ACACU,Acri Capital Acquisition Corporation Unit,United States,2022,1,Finance,Blank Checks
ACACW,Acri Capital Acquisition Corporation Warrant,United States,2022,10,Finance,Blank Checks
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,1985,3896016,Health Care,Biotechnology: Pharmaceutical Preparations
ACB,Aurora Cannabis Inc. Common Shares,Canada,,512327,Health Care, Medicinal Chemicals and Botanical Products 
ACCD,Accolade Inc. Common Stock,United States,2020,622478,Consumer Discretionary,Business Services
ACCO,Acco Brands Corporation Common Stock,United States,,651300,Consumer Discretionary,Publishing
ACDC,ProFrac Holding Corp. Class A Common Stock,United States,2022,560411,Energy,Oilfield Services/Equipment
ACEL,Accel Entertainment Inc. ,United States,2017,107949,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACET,Adicet Bio Inc. Common Stock ,United States,2018,387957,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,,1091094,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Bermuda,,33036,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Bermuda,,15082,Finance,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,,292694,Health Care,Medical Specialities
ACHL,Achilles Therapeutics plc American Depositary Shares,United Kingdom,2021,212298,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,United States,2020,8112973,Industrials,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,United States,,69427,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,United States,2020,2649023,Consumer Staples,Food Chains
ACIC,American Coastal Insurance Corporation Common Stock,United States,,320396,Finance,Property-Casualty Insurers
ACIU,AC Immune SA Common Stock,Switzerland,2016,82510,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,United States,,586893,Technology,Computer Software: Prepackaged Software
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000,446038,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,United States,2022,528996,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACM,AECOM Common Stock,United States,2007,1020660,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,United States,2017,1460928,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,2001,2842849,Consumer Discretionary,Business Services
ACNB,ACNB Corporation Common Stock,United States,,32590,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,United States,,51897,Industrials,Steel/Iron Ore
ACON,Aclarion Inc. Common Stock,United States,2022,98999,Health Care,Medical Specialities
ACONW,Aclarion Inc. Warrant,United States,2022,10950,Health Care,Medical Specialities
ACP,abrdn Income Credit Strategies Fund Common Shares,United States,2011,519186,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,United States,,1132,,
ACR,ACRES Commercial Realty Corp. Common Stock,United States,,26002,Real Estate,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,United States,,12747,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,United States,,5698,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,2012,333046,Real Estate,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,2015,323404,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics Inc. Common Stock,United States,2022,52666,Health Care,Biotechnology: Pharmaceutical Preparations
ACST,Acasti Pharma Inc. Class A Common Stock,Canada,,40449,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Enact Holdings Inc. Common Stock,United States,2021,350136,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,,268104,Miscellaneous,Multi-Sector Companies
ACTU,Actuate Therapeutics Inc. Common stock,United States,2024,24661,Health Care,Biotechnology: Pharmaceutical Preparations
ACU,Acme United Corporation. Common Stock,United States,1988,21518,Consumer Discretionary,Industrial Machinery/Components
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,2015,40695,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,United States,2021,820575,Consumer Discretionary,Business Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,United States,2021,39472,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,China,2021,71075,Health Care,Biotechnology: Pharmaceutical Preparations
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,United Kingdom,2015,611989,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,United States,1986,2840595,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,United States,,748922,Real Estate,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,United States,,14139,,
ADCT,ADC Therapeutics SA Common Shares,,2020,282973,Health Care,Biotechnology: Pharmaceutical Preparations
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,United States,,478551,Consumer Discretionary,Engineering & Construction
ADEA,Adeia Inc. Common Stock,United States,2003,535296,Technology,Computer Software: Prepackaged Software
ADGM,Adagio Medical Holdings Inc Common Stock,United States,,7871,Health Care,Medical/Dental Instruments
ADI,Analog Devices Inc. Common Stock,United States,,1984787,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,United States,2018,53377,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,United States,,2620305,Consumer Staples,Packaged Foods
ADMA,ADMA Biologics Inc Common Stock,United States,,6646463,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States,2018,78335,Miscellaneous,Industrial Machinery/Components
ADNT,Adient plc Ordinary Shares ,United States,2016,1721907,Consumer Discretionary,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,United States,2018,33181,Miscellaneous,Industrial Machinery/Components
ADP,Automatic Data Processing Inc. Common Stock,United States,,1436858,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,2019,592244,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADRT,Ault Disruptive Technologies Corporation Common Stock,,2022,1373,Finance,Blank Checks
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Ireland,,107398,Consumer Discretionary,Industrial Specialties
ADSEW,ADS-TEC ENERGY PLC Warrant,Ireland,,10182,Consumer Discretionary,Industrial Specialties
ADSK,Autodesk Inc. Common Stock,United States,,870025,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,United States,2018,3543324,Consumer Discretionary,Diversified Commercial Services
ADTN,ADTRAN Holdings Inc. Common Stock,United States,1994,549259,Utilities,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,United States,2020,2712104,Health Care,Biotechnology: Pharmaceutical Preparations
ADUS,Addus HomeCare Corporation Common Stock,United States,2009,114680,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,United States,2019,408118,Consumer Discretionary,Business Services
ADVM,Adverum Biotechnologies Inc. Common Stock,United States,2014,289044,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADVWW,Advantage Solutions Inc. Warrant,United States,2019,5341,Consumer Discretionary,Business Services
ADX,Adams Diversified Equity Fund Inc.,United States,,404468,Finance,Investment Managers
ADXN,Addex Therapeutics Ltd American Depositary Shares,Switzerland,,33745,Health Care,Biotechnology: Pharmaceutical Preparations
AE,Adams Resources & Energy Inc. Common Stock,United States,1980,4605,Energy,Oil Refining/Marketing
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,United States,2021,97,Finance,Blank Checks
AEAEW,AltEnergy Acquisition Corp. Warrant,United States,2021,163600,Finance,Blank Checks
AEE,Ameren Corporation Common Stock,United States,,923511,Utilities,Power Generation
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,United States,,157723,Finance,Finance/Investors Services
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,United States,2019,46917,,
AEG,Aegon Ltd. New York Registry Shares,Netherlands,,4816386,Finance,Life Insurance
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,China,,238622,Industrials,Building Materials
AEHR,Aehr Test Systems Common Stock,United States,1997,545084,Industrials,Electrical Products
AEI,Alset Inc. Common Stock (TX),United States,2020,9348,Finance,Real Estate
AEIS,Advanced Energy Industries Inc. Common Stock,United States,1995,155878,Technology,Industrial Machinery/Components
AEM,Agnico Eagle Mines Limited Common Stock,Canada,,1819082,Basic Materials,Precious Metals
AEMD,Aethlon Medical Inc. Common Stock,United States,,599220,Health Care,Medical/Dental Instruments
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,United States,,113898,Consumer Discretionary,Durable Goods
AENTW,Alliance Entertainment Holding Corporation Warrants,United States,,244781,Consumer Discretionary,Durable Goods
AEO,American Eagle Outfitters Inc. Common Stock,United States,,3025140,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEON,AEON Biopharma Inc. Class A Common Stock,United States,,97340,Health Care,Biotechnology: Pharmaceutical Preparations
AEP,American Electric Power Company Inc. Common Stock,United States,,3226895,Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,2006,1126932,Consumer Discretionary,Diversified Commercial Services
AERT,Aeries Technology Inc. Class A Ordinary Share,United States,2021,9767,Consumer Discretionary,Professional Services
AES,The AES Corporation Common Stock,United States,,9284421,Utilities,Electric Utilities: Central
AESI,Atlas Energy Solutions Inc. Common Stock,United States,2023,457071,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AEVA,Aeva Technologies Inc. Common Stock,United States,2020,131279,Consumer Discretionary,Auto Parts:O.E.M.
AEYE,AudioEye Inc. Common Stock,United States,,85593,Technology,Computer Software: Prepackaged Software
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,2002,22097,Finance,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),United States,2017,5959,Finance,Banks
AFCG,AFC Gamma Inc. Common Stock,United States,2021,351824,Finance,Real Estate
AFG,American Financial Group Inc. Common Stock,United States,,232899,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States,2019,14821,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States,2019,7329,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,United States,2020,6606,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States,2020,42421,Finance,Property-Casualty Insurers
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,United States,2024,140724,,
AFL,AFLAC Incorporated Common Stock,United States,,1508221,Finance,Accident &Health Insurance
AFMD,Affimed N.V.,Germany,2014,61383,Health Care,Biotechnology: Pharmaceutical Preparations
AFRI,Forafric Global PLC Ordinary Shares,Gibraltar,,4734,Consumer Staples,Packaged Foods
AFRIW,Forafric Global PLC Warrants,Gibraltar,,3000,Consumer Staples,Packaged Foods
AFRM,Affirm Holdings Inc. Class A Common Stock,United States,2021,10036710,Finance,Finance: Consumer Services
AFYA,Afya Limited Class A Common Shares,Brazil,2019,111086,Real Estate,Other Consumer Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Canada,,12002222,Basic Materials,Precious Metals
AGAE,Allied Gaming & Entertainment Inc. Common Stock,United States,2017,30531,Consumer Discretionary,Services-Misc. Amusement & Recreation
AGBA,AGBA Group Holding Limited Ordinary Share,Hong Kong,2019,639761,Finance,Investment Managers
AGBAW,AGBA Group Holding Limited Warrant,Hong Kong,2019,9477,Finance,Investment Managers
AGCO,AGCO Corporation Common Stock,United States,,647006,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,United States,2006,82264,Finance,Trusts Except Educational Religious and Charitable
AGEN,Agenus Inc. Common Stock,United States,2000,527972,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFY,Agrify Corporation Common Stock,United States,2021,463121,Consumer Staples,Farming/Seeds/Milling
AGI,Alamos Gold Inc. Class A Common Shares,Canada,2015,2067790,Basic Materials,Precious Metals
AGIO,Agios Pharmaceuticals Inc. Common Stock,United States,2013,339384,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,agilon health inc. Common Stock,United States,2021,4653224,Health Care,Misc Health and Biotechnology Services
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States,,38484,Finance,Finance Companies
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,United States,,4831,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,United States,,14626,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,United States,,14522,,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,United States,,10865,,
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Hong Kong,2018,120077,Technology,EDP Services
AGNC,AGNC Investment Corp. Common Stock,United States,2008,23605035,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,United States,,54513,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,,4987,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,United States,,17818,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,,32462,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,40272,Real Estate,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd. Common Stock,Bermuda,2004,313663,Finance,Property-Casualty Insurers
AGR,Avangrid Inc. Common Stock,United States,2015,501635,Utilities,Electric Utilities: Central
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,Canada,2021,4423936,Industrials,Metal Fabrications
AGRO,Adecoagro S.A. Common Shares,Luxembourg,2011,712591,Consumer Staples,Farming/Seeds/Milling
AGS,PlayAGS Inc. Common Stock,United States,2018,129747,Consumer Discretionary,Miscellaneous manufacturing industries
AGX,Argan Inc. Common Stock,United States,,120376,Consumer Discretionary,Engineering & Construction
AGYS,Agilysys Inc. Common Stock (DE),United States,,145274,Technology,EDP Services
AHCO,AdaptHealth Corp. Common Stock,United States,2018,1052595,Health Care,Medical/Nursing Services
AHG,Akso Health Group ADS,China,2017,1938,Consumer Discretionary,Business Services
AHH,Armada Hoffler Properties Inc. Common Stock,United States,2013,242225,Finance,Real Estate
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,7111,,
AHL^C,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares,Bermuda,,15361,,
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,12548,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,7298,,
AHR,American Healthcare REIT Inc. Common Stock,,2024,2017149,Real Estate,Real Estate Investment Trusts
AHT,Ashford Hospitality Trust Inc Common Stock,United States,2003,221428,Real Estate,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,United States,,2555,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,United States,,171,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,United States,,3158,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,United States,,1139,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,United States,,1094,,
AI,C3.ai Inc. Class A Common Stock,United States,2020,2231351,Technology,Computer Software: Prepackaged Software
AIEV,Thunder Power Holdings Inc. Common Stock,United States,2022,54863,Consumer Discretionary,Auto Manufacturing
AIFF,Firefly Neuroscience Inc. Common Stock,United States,,24000,Technology,Computer Software: Prepackaged Software
AIG,American International Group Inc. New Common Stock,United States,,4820746,Finance,Life Insurance
AIHS,Senmiao Technology Limited Common Stock,China,2018,66890,Finance,Finance: Consumer Services
AILE,iLearningEngines Inc. Common Stock,United States,2021,2035717,Technology,Computer Software: Prepackaged Software
AILEW,iLearningEngines Inc. Warrant,United States,2021,28716,Technology,Computer Software: Prepackaged Software
AIM,AIM ImmunoTech Inc. Common Stock,United States,1997,352090,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIMAU,Aimfinity Investment Corp. I Unit,United States,2022,2,Finance,Blank Checks
AIMBU,Aimfinity Investment Corp. I Subunit,United States,2022,100,Finance,Blank Checks
AIMD,Ainos Inc. Common Stock,United States,,65253,Health Care,Biotechnology: Pharmaceutical Preparations
AIN,Albany International Corporation Common Stock,United States,,120268,Consumer Discretionary,Textiles
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,,2019,72187,Finance,Finance/Investors Services
AIOT,PowerFleet Inc. Common Stock,United States,,593243,Telecommunications,Telecommunications Equipment
AIP,Arteris Inc. Common Stock,United States,2021,146724,Technology,Semiconductors
AIR,AAR Corp. Common Stock,United States,,927099,Industrials,Aerospace
AIRE,reAlpha Tech Corp. Common Stock,United States,,132243,Finance,Real Estate
AIRG,Airgain Inc. Common Stock,United States,2016,26350,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,United States,,131816,Industrials,Military/Government/Technical
AIRJ,Montana Technologies Corporation Class A Common Stock,United States,2022,25322,Industrials,Industrial Machinery/Components
AIRJW,Montana Technologies Corporation Warrant,United States,2022,1930,Industrials,Industrial Machinery/Components
AIRS,AirSculpt Technologies Inc. Common Stock,United States,2021,166514,Health Care,Medical/Nursing Services
AIRT,Air T Inc. Common Stock,United States,,12733,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,United States,,1526,Consumer Discretionary,Air Freight/Delivery Services
AISP,Airship AI Holdings Inc. Class A Common Stock,United States,2021,369693,Technology,Computer Software: Prepackaged Software
AISPW,Airship AI Holdings Inc. Warrants,United States,2021,21193,Technology,Computer Software: Prepackaged Software
AIT,Applied Industrial Technologies Inc. Common Stock,United States,,191334,Consumer Discretionary,Industrial Specialties
AITR,AI TRANSPORTATION ACQUISITION CORP Ordinary shares,United States,2024,5129,,
AIV,Apartment Investment and Management Company Common Stock,United States,1994,715670,Real Estate,Real Estate Investment Trusts
AIXI,XIAO-I Corporation American Depositary Shares,China,2023,433178,Technology,Computer Software: Prepackaged Software
AIZ,Assurant Inc. Common Stock,United States,2004,317533,Finance,Property-Casualty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States,2020,5674,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,United States,,759118,Finance,Specialty Insurers
AJX,Great Ajax Corp. Common Stock,United States,2015,80915,Real Estate,Real Estate Investment Trusts
AKA,a.k.a. Brands Holding Corp. Common Stock,,2021,4080,Consumer Discretionary,Catalog/Specialty Distribution
AKAM,Akamai Technologies Inc. Common Stock,United States,1999,1457806,Consumer Discretionary,Business Services
AKAN,Akanda Corp. Common Shares,United Kingdom,2022,37419,Health Care, Medicinal Chemicals and Botanical Products 
AKBA,Akebia Therapeutics Inc. Common Stock,United States,2014,1153284,Health Care,Biotechnology: Pharmaceutical Preparations
AKO/A,Embotelladora Andina S.A.,Chile,,426,,
AKO/B,Embotelladora Andina S.A.,Chile,,11503,,
AKR,Acadia Realty Trust Common Stock,United States,,756832,Real Estate,Real Estate Investment Trusts
AKRO,Akero Therapeutics Inc. Common Stock,United States,2019,474224,Health Care,Biotechnology: Pharmaceutical Preparations
AKTS,Akoustis Technologies Inc. Common Stock,United States,,5323963,Utilities,Telecommunications Equipment
AKTX,Akari Therapeutics plc ADS,United Kingdom,,15179,Health Care,Biotechnology: Pharmaceutical Preparations
AKYA,Akoya BioSciences Inc. Common Stock,United States,2021,102988,Industrials,Biotechnology: Laboratory Analytical Instruments
AL,Air Lease Corporation Class A Common Stock,United States,2011,657026,Consumer Discretionary,Diversified Commercial Services
AL^A,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A,United States,,20305,,
ALAB,Astera Labs Inc. Common Stock,United States,2024,1687106,Technology,Semiconductors
ALAR,Alarum Technologies Ltd. American Depositary Share,Israel,2018,136025,Technology,Computer Software: Prepackaged Software
ALB,Albemarle Corporation Common Stock,United States,,3649017,Industrials,Major Chemicals
ALB^A,Albemarle Corporation Depositary Shares each representing a 1/20th of 7.25% Series A Mandatory Convertible Preferred Stock,United States,,23713,,
ALBT,Avalon GloboCare Corp. Common Stock,United States,,309340,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALC,Alcon Inc. Ordinary Shares,Switzerland,2019,418586,Health Care,Ophthalmic Goods
ALCE,Alternus Clean Energy Inc. Class A Common Stock,United States,2022,78014,Utilities,Power Generation
ALCO,Alico Inc. Common Stock,United States,,17408,,
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,United States,2023,7019,Finance,Blank Checks
ALCYU,Alchemy Investments Acquisition Corp 1 Units,United States,2023,2,Finance,Blank Checks
ALCYW,Alchemy Investments Acquisition Corp 1 Warrants,United States,2023,2800,Finance,Blank Checks
ALDX,Aldeyra Therapeutics Inc. Common Stock,United States,2014,529525,Health Care,Biotechnology: Pharmaceutical Preparations
