Symbol,Name,Country,IPO Year,Volume,Sector,Industry
EQH^C,Equitable Holdings Inc. Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series C,United States,,16341,,
EQIX,Equinix Inc. Common Stock REIT,United States,2000,435030,Real Estate,Real Estate Investment Trusts
EQNR,Equinor ASA,Norway,,2419993,Energy,Integrated oil Companies
EQR,Equity Residential Common Shares of Beneficial Interest,United States,,1620310,Real Estate,Real Estate Investment Trusts
EQS,Equus Total Return Inc. Common Stock,United States,,109,Finance,Finance/Investors Services
EQT,EQT Corporation Common Stock,United States,,5984578,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,Canada,,3363063,Basic Materials,Precious Metals
ERAS,Erasca Inc. Common Stock,United States,2021,1737031,Health Care,Biotechnology: Pharmaceutical Preparations
ERC,Allspring Multi-Sector Income Fund Common Stock,United States,2003,92698,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,,2004,27065,Finance,Finance/Investors Services
ERIC,Ericsson American Depositary Shares,Sweden,,15807327,Technology,Radio And Television Broadcasting And Communications Equipment
ERIE,Erie Indemnity Company Class A Common Stock,United States,,116393,Finance,Specialty Insurers
ERII,Energy Recovery Inc. Common Stock,United States,2008,149129,Technology,Industrial Machinery/Components
ERJ,Embraer S.A. Common Stock,Brazil,2000,1228076,Industrials,Aerospace
ERNA,Eterna Therapeutics Inc. Common Stock,United States,,19193,Health Care,Biotechnology: Pharmaceutical Preparations
ERO,Ero Copper Corp. Common Shares,Canada,2021,451913,Basic Materials,Metal Mining
ES,Eversource Energy (D/B/A) Common Stock,United States,,1999614,Utilities,Electric Utilities: Central
ESAB,ESAB Corporation Common Stock,United States,2022,156188,Industrials,Industrial Machinery/Components
ESCA,Escalade Incorporated Common Stock,United States,,25563,Consumer Discretionary,Recreational Games/Products/Toys
ESE,ESCO Technologies Inc. Common Stock,United States,,116351,Telecommunications,Telecommunications Equipment
ESEA,Euroseas Ltd. Common Stock (Marshall Islands),Greece,,39027,Consumer Discretionary,Marine Transportation
ESGL,ESGL Holdings Limited Ordinary Shares,Singapore,,14986,Utilities,Environmental Services
ESGLW,ESGL Holdings Limited Warrants,Singapore,,300170,Utilities,Environmental Services
ESGR,Enstar Group Limited Ordinary Shares,Bermuda,,50817,Finance,Property-Casualty Insurers
ESGRO,Enstar Group Limited Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares Series E,Bermuda,,11126,Finance,Property-Casualty Insurers
ESGRP,Enstar Group Limited Depositary Shares Each Representing 1/1000th of an interest in Preference Shares,Bermuda,,31274,Finance,Property-Casualty Insurers
ESHA,ESH Acquisition Corp. Class A Common Stock,United States,2023,12700,Finance,Blank Checks
ESHAR,ESH Acquisition Corp. Right,United States,2023,8300,Finance,Blank Checks
ESI,Element Solutions Inc. Common Stock,United States,2014,958564,Industrials,Major Chemicals
ESLA,Estrella Immunopharma Inc. Common Stock,United States,2021,13653,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ESLT,Elbit Systems Ltd. Ordinary Shares,Israel,,21028,Industrials,Military/Government/Technical
ESNT,Essent Group Ltd. Common Shares,Bermuda,2013,371274,Finance,Property-Casualty Insurers
ESOA,Energy Services of America Corporation Common Stock,United States,,105464,Industrials,Water Sewer Pipeline Comm & Power Line Construction
ESP,Espey Mfg. & Electronics Corp. Common Stock,United States,1960,18365,Technology,Industrial Machinery/Components
ESPR,Esperion Therapeutics Inc. Common Stock,United States,2013,1872213,Health Care,Biotechnology: Pharmaceutical Preparations
ESQ,Esquire Financial Holdings Inc. Common Stock,United States,2017,32784,Finance,Commercial Banks
ESRT,Empire State Realty Trust Inc. Class A Common Stock,United States,2013,1402555,Real Estate,Real Estate Investment Trusts
ESS,Essex Property Trust Inc. Common Stock,United States,1994,765812,Real Estate,Real Estate Investment Trusts
ESSA,ESSA Bancorp Inc. Common Stock,United States,2007,8531,Finance,Banks
ESTA,Establishment Labs Holdings Inc. Common Shares,Costa Rica,2018,146747,Health Care,Industrial Specialties
ESTC,Elastic N.V. Ordinary Shares,United States,2018,809818,Technology,Computer Software: Prepackaged Software
ET,Energy Transfer LP Common Units ,United States,,10527442,Utilities,Natural Gas Distribution
ET^I,Energy Transfer L.P. Series I Fixed Rate Perpetual Preferred Units,United States,,112566,,
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,United States,2005,91240,Finance,Investment Bankers/Brokers/Service
ETD,Ethan Allen Interiors Inc. Common Stock,United States,,212956,Consumer Discretionary,Home Furnishings
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,United States,2004,76902,Finance,Investment Managers
ETHA,iShares Ethereum Trust ETF,United States,,1919365,Finance,Investment Bankers/Brokers/Service
ETI^,Entergy Texas Inc 5.375% Series A Preferred Stock Cumulative No Par Value,United States,,4735,,
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,United States,2007,152238,Finance,Finance Companies
ETN,Eaton Corporation PLC Ordinary Shares,Ireland,,1964210,Technology,Industrial Machinery/Components
ETNB,89bio Inc. Common Stock,United States,2019,634234,Health Care,Biotechnology: Pharmaceutical Preparations
ETO,Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,United States,2004,13913,Finance,Investment Managers
ETON,Eton Pharmaceuticals Inc. Common Stock,United States,2018,83767,Health Care,Biotechnology: Pharmaceutical Preparations
ETR,Entergy Corporation Common Stock,United States,,3302808,Utilities,Electric Utilities: Central
ETSY,Etsy Inc. Common Stock,United States,2015,2759794,Consumer Discretionary,Business Services
ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,United States,2005,160046,Finance,Investment Bankers/Brokers/Service
ETW,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,United States,2005,175050,Finance,Investment Managers
ETWO,E2open Parent Holdings Inc.Class A Common Stock,United States,2020,1271437,Technology,EDP Services
ETX           ,Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest,,2013,7894,Finance,Investment Managers
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,United States,2006,117971,Finance,Finance Companies
EU,enCore Energy Corp. Common Shares,United States,,1441902,Basic Materials,Other Metals and Minerals
EUDA,EUDA Health Holdings Limited Ordinary Shares,Singapore,2021,50597,Health Care,Medical/Nursing Services
EUDAW,EUDA Health Holdings Limited Warrant,Singapore,2021,19121,Health Care,Medical/Nursing Services
EURK,Eureka Acquisition Corp Class A Ordinary Share,United States,2024,619921,,
EURKR,Eureka Acquisition Corp Right,United States,2024,75545,,
